"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"comt-3.2",4.06917503297669e-26,2.0838899075014,0.932,0.437,5.54791323996042e-22,"5","comt-3"
"H20E11.1",5.10126925841247e-26,3.93108427248721,0.338,0.027,6.95507050691956e-22,"5","H20E11.1"
"clec-50.3",5.17278051346539e-26,1.78189060950393,0.905,0.33,7.05256895205871e-22,"5","clec-50"
"F55C12.19.3",7.58085854845475e-26,2.12287476683011,0.838,0.316,1.03357425449632e-21,"5","F55C12.19"
"gst-38.3",1.17610041670928e-25,2.62483577439164,0.878,0.337,1.60349530814143e-21,"5","gst-38"
"Y51H4A.25.3",1.38349037828695e-25,1.54651918568052,0.932,0.386,1.88625078175642e-21,"5","Y51H4A.25"
"K08D8.4.4",1.97545820481571e-25,2.53319310702892,0.743,0.209,2.69333971644574e-21,"5","K08D8.4"
"F54E2.1.3",4.09910620993859e-25,1.34937137163337,0.946,0.388,5.58872140663027e-21,"5","F54E2.1"
"ptl-1.2",7.61149169357086e-25,2.49486942761983,0.662,0.162,1.03775077750145e-20,"5","ptl-1"
"pcp-4.1",1.29737680537414e-24,2.53314464681501,0.446,0.06,1.7688435364471e-20,"5","pcp-4"
"rcs-1.3",1.52395012743166e-24,1.82610791766843,0.932,0.4,2.07775360374033e-20,"5","rcs-1"
"arrd-7.2",2.93467977266643e-24,1.74423964662915,0.919,0.398,4.00114240205341e-20,"5","arrd-7"
"lec-10.2",2.91438200002871e-23,1.55462018110949,1,0.781,3.97346841883915e-19,"5","lec-10"
"C07E3.3.2",3.53655268933532e-23,2.33673662981053,0.811,0.355,4.82173593663978e-19,"5","C07E3.3"
"tag-234.3",4.50361854532053e-23,1.88702436673591,0.905,0.384,6.14023352469001e-19,"5","tag-234"
"pbo-1.3",4.79773661523219e-23,1.48231943610676,0.986,0.582,6.54123410120756e-19,"5","pbo-1"
"Y22D7AL.15.4",5.27612834001611e-23,1.99836504344224,0.892,0.395,7.19347337877797e-19,"5","Y22D7AL.15"
"C25F9.6.2",5.81868410839961e-23,1.96467840698014,0.824,0.323,7.93319391339203e-19,"5","C25F9.6"
"T25C12.3.4",5.92780708410385e-23,1.21982828296994,1,0.522,8.08197217846719e-19,"5","T25C12.3"
"Y14H12A.2.4",6.80731831317969e-23,2.32468186674081,0.716,0.23,9.28109778818919e-19,"5","Y14H12A.2"
"M04C3.5.3",1.05746601658788e-22,2.04120338739367,0.77,0.281,1.44174916701591e-18,"5","M04C3.5"
"C25D7.5",1.08879659820166e-22,2.48902144324448,0.581,0.129,1.48446528198814e-18,"5","C25D7.5"
"ZK1128.7.3",1.3808372353385e-22,1.65697090805089,0.959,0.488,1.88263348666051e-18,"5","ZK1128.7"
"txt-9.2",2.06838340075317e-22,1.60602012171175,0.973,0.524,2.82003392858688e-18,"5","txt-9"
"C17F4.7.2",2.19696132866928e-22,2.10249828241651,0.959,0.614,2.9953370755077e-18,"5","C17F4.7"
"nlp-40.3",3.78563828588354e-22,1.60091758941878,0.986,0.595,5.16133923897362e-18,"5","nlp-40"
"irg-3.2",3.99392371751052e-22,2.62947828093575,0.77,0.281,5.44531559645384e-18,"5","irg-3"
"F54B8.4.2",5.40493293387748e-22,2.23893454564903,0.946,0.488,7.36908556204855e-18,"5","F54B8.4"
"clc-1.3",8.66224463433706e-22,1.69425521988309,0.959,0.539,1.18101043344552e-17,"5","clc-1"
"C25F9.5.2",1.22041327076877e-21,1.71654873619094,0.905,0.393,1.66391145336614e-17,"5","C25F9.5"
