"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ceh-24",0.263114275150726,-0.700630130477795,0,0.014,1
"ncx-9",0.263114275150726,0.147990897807675,0,0.014,1
"sri-20",0.263114275150726,0.692251170153514,0,0.014,1
"glb-3",0.263114275150726,-1.7797463437396,0,0.014,1
"C15C8.5",0.263114275150726,-0.176487252428712,0,0.014,1
"srbc-82",0.263114275150726,-0.209856311409025,0,0.014,1
"stdh-2",0.263114275150726,-1.50836761159936,0,0.014,1
"irg-5",0.263114275150726,-1.01582814065642,0,0.014,1
"R13H4.6",0.263114275150726,-1.72721532726649,0,0.014,1
"C17E7.9",0.263114275150726,0.126154918785098,0,0.014,1
"F18E3.11",0.263114275150726,-1.46603598630122,0,0.014,1
"bgnt-1.2",0.263114275150726,-0.539778474837776,0,0.014,1
"F26F12.4",0.263114275150726,0.168000505207893,0,0.014,1
"kin-34",0.263114275150726,0.236866083272633,0,0.014,1
"Y32G9A.2",0.263114275150726,0.155722111160985,0,0.014,1
"Y75B7B.2",0.263114275150726,0.117683246398637,0,0.014,1
"F14F9.8",0.263114275150726,0.299027348022836,0,0.014,1
"Y60C6A.3",0.263114275150726,-0.986188567921735,0,0.014,1
"egl-15",0.263114275150726,-0.474502343880274,0,0.014,1
"abu-12",0.263114275150726,0.21151419188163,0,0.014,1
"unc-6",0.263114275150726,-1.25868778798177,0,0.014,1
"B0198.3",0.263114275150726,-0.575769398780217,0,0.014,1
"R09A8.5",0.263114275150726,-0.439849545362304,0,0.014,1
"C31H2.3",0.263114275150726,-1.91365083005154,0,0.014,1
"F35A5.1",0.263114275150726,-0.551033035049077,0,0.014,1
"T25G12.11",0.263114275150726,-0.280685460673196,0,0.014,1
"F14H12.17",0.263114275150726,-1.00476639717212,0,0.014,1
"ZC53.22",0.263114275150726,-1.14277098219859,0,0.014,1
"grl-20",0.263114275150726,-0.419513718721612,0,0.014,1
"C08F8.3",0.263114275150726,0.478242191626332,0,0.014,1
"srz-29",0.263114275150726,-1.2836472903287,0,0.014,1
"elli-1",0.263114275150726,0.550776640581667,0,0.014,1
"Y105C5B.8",0.263114275150726,-0.255312753116999,0,0.014,1
"scl-23",0.263114275150726,0.486832607191495,0,0.014,1
"C06A6.7",0.263114275150726,0.11729250877007,0,0.014,1
"C45G7.4",0.263114275150726,0.281179507990211,0,0.014,1
"cpg-20",0.263114275150726,-0.198444740457382,0,0.014,1
"Y42H9AR.5",0.263114275150726,-1.02576141863988,0,0.014,1
"spon-1",0.263114275150726,-0.137970696612633,0,0.014,1
"F59B10.5",0.263114275150726,-0.65304457343067,0,0.014,1
"M28.4",0.263114275150726,0.276131973620625,0,0.014,1
"npr-20",0.263114275150726,-1.01943871785813,0,0.014,1
"chil-26",0.263114275150726,0.261871375896997,0,0.014,1
"T27D12.1",0.263114275150726,-1.03055927150494,0,0.014,1
"ZK1321.1",0.263114275150726,-0.206043823132042,0,0.014,1
"VM106R.1",0.263114275150726,0.341786723899909,0,0.014,1
"fbxb-98",0.263114275150726,0.256653210763901,0,0.014,1
"C29F5.1",0.263114275150726,-0.132334885380289,0,0.014,1
"C40A11.6",0.263114275150726,-0.502082852812978,0,0.014,1
"fbxb-54",0.263114275150726,0.250526059214495,0,0.014,1
"Y51H7C.3",0.263114275150726,0.17957151397523,0,0.014,1
"Y110A2AR.1",0.263114275150726,-0.6780050165638,0,0.014,1
"ZC239.13",0.263114275150726,0.730596179698231,0,0.014,1
"F02E11.7",0.263114275150726,0.100699181874555,0,0.014,1
"F54D5.23",0.263114275150726,0.440799057889043,0,0.014,1
"cey-3",0.263114275150726,0.362470130178966,0,0.014,1
"hlh-2",0.263114275150726,-1.23592606048988,0,0.014,1
"hmg-3",0.263114275150726,-0.28820012323497,0,0.014,1
"ikb-1",0.263114275150726,0.38679460500626,0,0.014,1
"klp-15",0.263114275150726,0.214078661014369,0,0.014,1
"E03H4.11",0.263114275150726,0.198182757801684,0,0.014,1
"clec-12",0.263114275150726,0.268948164126101,0,0.014,1
"C37A5.3",0.263114275150726,-0.49434612457495,0,0.014,1
"magu-3",0.263114275150726,-1.69879027873561,0,0.014,1
"T10B11.4",0.263114275150726,0.384116063824204,0,0.014,1
"bath-25",0.263114275150726,0.137544498320813,0,0.014,1
"syp-5",0.263114275150726,0.13586271853214,0,0.014,1
"Y71G12B.30",0.263114275150726,0.255516360332029,0,0.014,1
"D2005.7",0.263114275150726,0.242986980391721,0,0.014,1
"emb-9",0.263114275150726,-0.808111436917319,0,0.014,1
"far-2",0.263114275150726,-0.341446751083839,0,0.014,1
"lon-1",0.263114275150726,-0.369338311112628,0,0.014,1
"C07A9.5",0.263114275150726,-0.64137929019001,0,0.014,1
"F43D9.1",0.263114275150726,-0.376119421060635,0,0.014,1
"bbs-5",0.263114275150726,-0.274817402952985,0,0.014,1
"BE0003N10.3",0.263114275150726,-1.55165574663024,0,0.014,1
"F10E9.12",0.263114275150726,-0.465934986498252,0,0.014,1
"R13A5.10",0.263114275150726,0.144289574650693,0,0.014,1
"Y82E9BL.12",0.263114275150726,-1.12883472283416,0,0.014,1
"pps-1",0.263197789337229,1.09159967983681,0.056,0.092,1
"rps-17",0.26321272049215,-0.107339739550352,0.921,0.976,1
"clpp-1",0.26337637611278,-0.429678328382757,0.135,0.185,1
"F40A3.1",0.263531254153328,1.21920627581426,0.461,0.421,1
"Y119D3B.14",0.263553527132945,-0.105469752463366,0.034,0.065,1
"tbc-19",0.263681012230808,1.76373448145259,0.067,0.108,1
"rpl-35",0.264235755641313,-0.114368266356661,0.933,0.984,1
"Y43F8B.24",0.264640196964352,-1.0447906707773,0.09,0.129,1
"Y111B2A.12",0.26503806300545,0.920141286948267,0.517,0.555,1
"mrpl-44",0.265287766165761,-0.33481258868835,0.371,0.461,1
"C16C10.2",0.265347866000293,-0.109741759269745,0.27,0.351,1
"fbxa-134",0.265683602371576,-0.226578775806995,0.011,0.033,1
"K08H2.10",0.265683602371576,-1.30234721175675,0.011,0.033,1
"T08E11.1",0.265703871240826,1.8140399928816,0.056,0.033,1
"pgap-2",0.265758305344587,1.09064817202752,0.236,0.206,1
"epg-5",0.266263888295895,0.352404143050323,0.225,0.302,1
"prmn-1",0.266279873850168,0.107285901682773,0.022,0.049,1
"T08B2.4",0.266279873850168,-0.147165850025255,0.022,0.049,1
"ile-2",0.266467828501606,0.183683245054308,0.461,0.579,1
"clec-178",0.266509443059305,-0.198225868353419,0.112,0.166,1
"polh-1",0.266532131804392,-0.297840171714276,0.045,0.077,1
"hpr-17",0.266547340168981,-0.202104524630601,0.011,0.033,1
"tcab-1",0.266547396411065,-0.182161780227002,0.011,0.033,1
"rbm-12",0.266695892281688,0.272087365894996,0.225,0.307,1
"srx-111",0.266991529245566,1.43638105782304,0.067,0.042,1
"crn-2",0.267113579052738,1.81652294697888,0.146,0.201,1
"clec-48",0.267113579052738,0.826397788435356,0.236,0.187,1
"ari-1.1",0.267158164392754,-0.248326493412833,0.213,0.286,1
"dvc-1",0.267413064534186,-0.124329488877228,0.011,0.033,1
"ZK1248.15",0.267413120799912,-0.190660269785714,0.011,0.033,1
"glit-1",0.267650705155799,-0.129620984511127,0.247,0.304,1
"frm-10",0.267814028504804,0.673424292047798,0.607,0.653,1
"oxi-1",0.268048524191099,0.51937191708111,0.079,0.122,1
"cpr-9",0.268150637606581,-0.947146957671183,0.326,0.389,1
"cyp-13A6",0.268382048653215,0.502475674277446,0.281,0.363,1
"ZK673.4",0.26896541930139,0.273352249725318,0.067,0.04,1
"dim-1",0.269101942943199,-0.358781495882563,0.045,0.079,1
"Y37E11AM.4",0.269670994162746,0.673673072662967,0.101,0.07,1
"W10G11.19",0.269822433761926,0.514722315830991,0.663,0.756,1
"his-16",0.270021884107872,1.64544747740268,0.011,0.033,1
"ucr-2.3",0.270021884107872,1.29538172070689,0.011,0.033,1
"acr-7",0.270133939258291,1.14630930225955,0.045,0.024,1
"Y54F10AR.1",0.270229874805652,-0.163791756677414,0.236,0.307,1
"C54E10.6",0.270569420377365,1.17214389336443,0.067,0.042,1
"uvs-1",0.271005683059577,0.134490140832557,0.135,0.194,1
"hosl-1",0.271103192030531,1.63668515977285,0.09,0.059,1
"dhp-1",0.271121531663543,-1.46304131885162,0.045,0.077,1
"C47F8.7",0.271241196015935,0.453661884938391,0.461,0.431,1
"T27F6.7",0.271274262542319,1.03778292439915,0.056,0.033,1
"T22B7.4",0.271425972021269,-0.273245187979614,0.169,0.218,1
"cct-1",0.271600136675398,0.67033814669991,0.404,0.555,1
"rpl-11.2",0.271829711950556,-0.105576801547627,0.944,0.986,1
"sds-22",0.272278502338076,-0.177855391458124,0.169,0.232,1
"sec-15",0.272624692856574,0.306825280035921,0.27,0.225,1
"gsy-1",0.272731861961371,-0.334969776841312,0.022,0.049,1
"exos-1",0.272737321574229,-0.363361214988909,0.135,0.183,1
"F39H11.1",0.272739208197187,-0.213089912690274,0.191,0.267,1
"pes-7",0.272808423641018,1.00603021521924,0.539,0.548,1
"nhr-18",0.273035284656571,0.935691309585996,0.213,0.178,1
"angl-1",0.273436394935623,-1.04048069296668,0.045,0.077,1
"VW02B12L.2",0.273677465137549,-0.224975341296083,0.045,0.079,1
"kel-3",0.273899983391244,0.671951527112864,0.236,0.328,1
"K12H6.12",0.274017246643469,-0.758340166503597,0.045,0.077,1
