32524
Y48G1BM.1.1	252106	254293	237852	1	6	535	16877
Y48G1BR.1.1	254253	259156	254293	2	10	541	16879
C53D5.2.1	280113	286112	259156	1	7	551	16383
C53D5.4a.1	286039	289184	286112	2	6	558	16384
C53D5.4b.1	286087	289184	289184	2	5	564	16384
C53D5.4f.1	286351	287894	289184	2	2	569	16384
C53D5.4c.1	286351	289034	289184	2	5	571	16384
C53D5.4e.1	286370	287894	289184	2	3	576	16384
C53D5.4d.1	286370	289034	289184	2	6	579	16384
C53D5.1a.1	291214	305470	289184	1	8	585	16382
C53D5.1b.1	295332	305470	305470	1	8	593	16382
C53D5.1c.2	295741	305476	305470	1	7	601	16382
C53D5.1d.1	301208	305079	305476	1	7	608	16382
C53D5.1c.1	302594	305470	305476	1	6	615	16382
C53D5.5a.1	305810	310789	305476	2	7	621	16385
C53D5.5b.1	305899	309648	310789	2	6	628	16385
C53D5.6.1	310980	314988	310789	2	7	634	14709
Y48G1A.5a.1	318548	323351	314988	2	5	641	14710
Y48G1A.5b.1	318824	320020	323351	2	2	646	14710
Y48G1A.4.1	323854	330986	323351	1	7	648	16874
Y48G1A.3.1	332603	337844	330986	1	5	655	14580
Y48G1A.6b.1	343068	347149	337844	2	7	660	16875
Y48G1A.6a.1	343068	348423	347149	2	7	667	16875
Y48G1A.2.1	347468	348356	348423	1	4	674	16873
Y48G1A.1.1	348459	357235	348423	1	13	678	16872
R119.7a.1	364509	368578	357235	1	6	691	16641
R119.7b.1	364516	368294	368578	1	5	697	16641
R119.7b.2	364733	368286	368578	1	5	702	16641
R119.7b.3	366642	368282	368578	1	2	707	16641
R119.2.1	368269	373464	368578	2	5	709	16638
R119.3.1	373570	379072	373464	2	5	714	16639
R119.4.1	379070	381901	379072	2	6	719	14895
R119.6.1	382825	388563	381901	1	8	725	15043
R119.5a.1	388469	394414	388563	2	10	733	16640
R119.5b.1	388490	394414	394414	2	10	743	16640
Y50C1A.1a.1	398890	412917	394414	1	12	753	16896
Y50C1A.1b.1	402290	412906	412917	1	8	765	16896
Y50C1A.2.1	412859	418676	412917	2	7	773	16897
C07F11.2.1	420921	423712	418676	1	7	780	16237
C07F11.1.1	444002	461604	423712	1	14	787	15068
W04C9.4.1	461994	462650	461604	1	3	801	16761
W04C9.5.1	462605	467136	462650	2	7	804	16762
W04C9.3.1	477581	482027	467136	1	7	811	16760
W04C9.9.1	481960	483879	482027	2	3	818	17276
W04C9.6.1	484038	488391	483879	2	9	821	16763
W04C9.2.1	488606	489904	488391	1	4	830	16759
W04C9.1a.1	489968	496157	489904	1	10	834	14677
W04C9.1b.1	491242	496066	496157	1	9	844	14677
Y65B4BL.3a.1	496143	502041	496157	2	6	853	16932
Y65B4BL.3b.1	496229	500067	502041	2	5	859	16932
Y65B4BL.4.1	502890	506249	502041	2	8	864	16933
Y65B4BL.2a.1	506472	509055	506249	1	12	872	16931
Y65B4BL.2b.1	506662	508875	509055	1	11	884	16931
Y65B4BL.7a.2	508947	511210	509055	2	5	895	16936
Y65B4BL.7a.1	508947	511237	511210	2	4	900	16936
Y65B4BL.7b.1	508971	509860	511237	2	3	904	16936
Y65B4BL.7c.1	508971	511003	511237	2	5	907	16936
Y65B4BL.5a.1	511043	516396	511237	2	6	912	16934
Y65B4BL.5b.1	511477	515150	516396	2	5	918	16934
Y65B4BL.5c.1	511477	519645	516396	2	6	923	16934
Y65B4BL.6a.1	520108	521553	519645	2	2	929	16935
Y65B4BL.6b.1	520276	520404	521553	2	1	931	16935
Y65B4BL.1.1	530968	532417	521553	1	4	932	16930
Y65B4BM.3.1	531724	533083	532417	1	3	936	17301
Y65B4BR.8.1	534454	535343	533083	1	4	939	16939
Y65B4BR.5.1	535790	536586	535343	1	3	943	16938
Y65B4BR.4b.1	537121	542199	536586	1	10	946	15131
Y65B4BR.4a.1	537121	542203	542199	1	10	956	15131
Y65B4BR.4c.1	539509	541630	542203	1	6	966	15131
Y65B4BR.4d.1	539509	541630	542203	1	6	972	15131
Y65B4BR.3.1	550695	556708	542203	1	9	978	14910
Y65B4BR.2d.1	557374	561666	556708	1	5	987	14750
Y65B4BR.2a.1	557374	561670	561666	1	6	992	14750
Y65B4BR.2f.1	557430	561670	561670	1	4	998	14750
Y65B4BR.2e.1	557443	561670	561670	1	5	1002	14750
Y65B4BR.2b.1	558465	561562	561670	1	5	1007	14750
Y65B4BR.2c.1	558465	561666	561670	1	4	1012	14750
Y65B4BR.1.1	562735	565183	561670	1	6	1016	16937
Y65B4BR.9.1	565283	566587	565183	2	3	1022	14514
Y65B4BR.6a.1	572172	575119	566587	2	5	1025	14672
Y65B4BR.6b.1	572172	575119	575119	2	5	1030	14672
F56A6.5.1	582210	583728	575119	2	3	1035	17111
F56A6.8.1	585118	585375	583728	1	2	1038	17277
F56A6.2a.1	585806	607570	585375	2	30	1040	14702
F56A6.2b.1	585826	607570	607570	2	29	1070	14702
F56A6.4a.1	614650	629443	607570	2	8	1099	16552
F56A6.4b.1	614722	616077	629443	2	2	1107	16552
F56A6.4d.1	614722	625547	629443	2	6	1109	16552
F56A6.4c.1	614722	627280	629443	2	7	1115	16552
F56A6.1a.1	618159	621489	629443	1	10	1122	16551
F56A6.1b.1	618206	621469	629443	1	9	1132	16551
Y65B4A.4.1	621558	623131	629443	1	5	1141	16925
Y65B4A.4.3	621705	623130	629443	1	4	1146	16925
Y65B4A.4.2	621705	624438	629443	1	5	1150	16925
Y65B4A.6a.1	629464	636344	629443	2	3	1155	16926
