,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
R11A5.3,-0.519543652540697,2.20421031045868,-0.171739966654925,-0.576631595960869,-0.571004692902786,-0.53557720615094,-0.555329058963501,2.06139012606594,-0.156511437694393,-0.59134675017897,-0.580473383490698,-0.563971251517233,0.556528559530394
rpl-35,0.660757290910858,-0.31520227133619,-0.785191017533039,0.601975569049236,1.10053059065609,0.478965784240846,0.947659733748222,-0.445511287638519,-0.989967528854826,1.86578701809413,-1.3885767304644,-0.692240042767698,-1.03898710810472
rps-23,0.924669957959348,-0.384123394158752,-0.860536548045047,0.927462383828038,1.39108790560621,0.573054240502306,0.964710280994722,-0.558929716913981,-0.808910984584018,1.098389332884,-1.55015996076712,-0.581955448794468,-1.13475804851123
rpl-12,0.64039209184155,0.544909373749894,-0.661003297221708,-0.00601696409006214,1.05441139904343,-0.0616501394981126,0.654772425491988,0.656840813054611,-1.07967659924424,1.32727857640383,-2.319894592968,-0.755612862735614,0.00524977617243202
rpl-36,0.876585687831018,-0.486902573578901,-1.05530129028271,1.00745489175089,1.26111254044567,0.652638192104472,0.971632309843936,-0.743377339932871,-0.967537290530603,0.97254604529247,-1.39228681475116,0.134071501148178,-1.23063585934039
rpl-10,0.879342594878396,-0.40912248354312,-1.20256818064932,0.892056971490268,1.31979090244794,0.517201288748782,0.916233812350643,-0.772370644523194,-0.4980714717019,1.17676479064607,-1.46980422365866,-0.0966409085962865,-1.25281244788961
hic-1,-0.296227363888642,-0.295984757363007,-0.296227363888642,-0.295720732442005,-0.254022106561329,-0.263460139543229,-0.294005953108772,-0.296227363888642,-0.296227363888642,-0.296227363888642,3.32522651452098,-0.144668642170783,-0.296227363888642
rpl-43,0.928412545886756,-0.516497272915833,-1.11791045861463,0.847616785230438,1.25786712326016,0.513824023886665,1.2986197214753,-0.507644136976689,-0.720849131890029,0.99782636606833,-1.55159970585504,-0.424981833914177,-1.00468402564125
ifp-1,0.258786782581878,-0.830839227945429,-0.854456909566632,0.385955607907475,-0.170116001370461,0.383857788221218,0.151235052478186,-0.871740806894724,-0.582000291293944,0.804927241314627,-0.524504980472727,2.71799763353205,-0.869101888491521
rps-29,0.9178769352704,-0.118000111508943,-1.57760345944241,0.461016655504604,1.32577579532947,0.278490340970507,1.15156978477388,-0.296333345676733,-0.494901426642654,1.26772886310375,-1.53266763725411,-0.558000578328633,-0.824951816099138
rps-18,0.827473749573212,-0.316454006776962,-0.969456111545421,0.599850450810237,1.1402355537332,0.522906759520971,1.13270706553423,-0.524914441437552,-1.05655494680932,1.42801583128395,-1.64089881835005,-0.195862745504584,-0.947048340031917
Y37D8A.16,0.511785573241468,-0.854826521145747,-0.727841187569802,0.246919178703327,0.515644962951974,0.244956398779898,-0.00221059548506371,-0.958924750988916,-0.623690175816599,-0.375488140420443,2.77553214915848,0.196341795581495,-0.948198686990074
crt-1,0.858471114594856,-0.443977084193615,-2.07682591805682,1.43821540063977,0.715638166673494,0.411510417745511,-0.583007371290171,0.352006628359672,-0.943094760494302,-0.728903575528121,-0.560306747013695,0.238353542184511,1.32192018637892
rps-26,0.988377152586602,-0.323561489372367,-1.0657790303471,0.693428077270829,1.2683300443333,0.584436963181796,1.30095685790796,-0.415780960423209,-0.883926624190851,0.872688976708046,-1.64072247618899,-0.30117761817367,-1.07726987329233
rps-19,0.774983910193393,-0.344456041665955,-0.830048099982832,0.72452686191547,1.12566746608441,0.545518681796359,1.02321470966696,-0.565518634403092,-1.29393683423554,1.48706790529234,-1.42903725875931,-0.126393390575749,-1.09158927532644
dod-6,-0.282791927172034,-0.120689110049536,3.31994148890686,-0.330792229938103,-0.305201076204931,-0.347233909583464,-0.333051606344355,-0.275848433466859,-0.215701569705477,-0.348780009531955,-0.34462228456084,-0.199065414358615,-0.216163917990695
rpl-7A,0.571331672947697,0.0850824295810751,-0.895603590767804,0.303548252033961,1.22710798350979,-0.00920979272291316,0.439457082962353,0.00168133938999847,-0.280908187741621,1.73849763989099,-2.04619478209856,0.187925710669071,-1.32271575765403
cpr-6,0.117263435406588,1.93524622958671,-1.02013058389966,-0.745979040118992,0.206650847617132,-0.600791006739635,-0.875322261767459,0.900195815053574,1.87738775611184,-0.686035265996321,-0.770140019715557,-0.264410572024738,-0.0739353335134918
rps-5,0.725274279775067,-0.404247682527793,-1.06692194082553,0.688909505857337,1.14981552346259,0.550930609103215,0.893687860150211,-0.639198302971143,-0.958937564412798,1.65460299699926,-1.32128737801305,-0.0653822588263882,-1.20724564777097
F01G10.6,-0.295383356124444,-0.29707838571524,-0.29707838571524,-0.29707838571524,-0.24223306842505,-0.246218489512021,-0.292866325012156,-0.29707838571524,-0.29707838571524,-0.252755873575644,3.32686920136735,-0.214941774426599,-0.29707838571524
rpl-36.A,0.888167793958684,-0.407839309588305,-1.2569795829231,0.843214697739228,1.36738909197016,0.683908559019736,1.02988928798254,-0.735642045504424,-0.713316875199836,1.12994499518915,-1.21098590127482,-0.452610589917641,-1.16514012145137
rpl-24.1,0.676245889826993,-0.338077005741377,-1.17199170425481,0.729359463282031,1.17221070128161,0.419056119568615,0.833422631791825,-0.725178270461566,-0.559211219598928,1.56786371291196,-1.61560748990986,0.170572948736924,-1.15866577743342
rmd-2,-0.454085152399075,0.0155946431218019,-0.284767214794678,-0.42095494847776,-0.439127995248944,-0.281369828409361,-0.40491696727974,0.381458975244371,-0.256553188220875,-0.308529503431425,-0.332640416192401,-0.451172058484533,3.23706365457262
rpl-6,0.72941410300327,-0.470065854317337,-1.14543683113731,0.779623633177672,1.03585762673469,0.624282992645399,1.00917609848432,-0.789049284805257,-1.02651730717536,1.35646876505266,-1.33944410264197,0.40634004065961,-1.17064987968039
rpl-16,0.762704506651551,-0.601894331788617,-0.987981343713748,0.71293288527367,1.20475090347014,0.606313120607559,0.842116925813848,-0.768810695512156,-0.732985968418346,1.63382570814396,-1.34968033182221,-0.13569038352429,-1.18560099518137
rps-24,0.708366979472124,-0.487086047967664,-1.02082139065055,0.623641727166061,1.21192511262725,0.457118402971474,0.818279137773865,-0.628289367203818,-0.733351839364382,1.68195443497973,-1.46231453082625,0.0857348255532912,-1.25515744453113
rpl-15,0.544628391124623,-0.454634541557613,-1.00902792136282,0.605728045083796,0.931209689380554,0.288791575661947,0.606525172193181,-0.661150625683675,-0.641278487147777,1.87154746362174,-1.54290833541461,0.709088090591214,-1.24851851649056
nspg-10,1.34268060072813,-0.784687377418787,-0.773794703766483,0.967466977466357,-0.235232705101329,-0.526278802188874,2.39800657471011,-0.78175004534063,-0.744897669374382,-0.195156371500928,-0.200730017770725,0.319996127339887,-0.785622587782346
rpl-2,0.80431935654834,-0.443343473252879,-1.11759541935337,0.890942782127394,1.06877737917102,0.484584017838148,0.789065687225586,-0.71635187288863,-0.745392289292359,1.53914562752908,-1.42345046064454,0.14556214635578,-1.27626348136358
spp-5,0.543511833016003,-1.04885620195955,-0.99020699049995,0.847224820841602,0.039231671062136,0.689270603735947,1.25351451694558,-1.04964650410807,-0.951637681267443,1.75773972378921,-0.592221536612074,0.553082887997125,-1.05100714294052
ubq-2,1.06783529346485,-0.389632726432341,-1.23886783234847,0.786450730542848,1.38616897659145,0.644336196177854,1.27418654993779,-0.442494224696525,-1.09914110717439,0.443247616910711,-1.37564793468833,-0.0068722421832888,-1.04956929610217
rpl-19,0.919068064472502,-0.461731094318941,-0.97918880290693,0.670503114987853,1.1422196242066,0.736547354064674,1.11910477192778,-0.66051162526985,-1.11656754471353,1.20382119163883,-1.42077941403756,-0.0197987005820014,-1.13268693946942
gst-5,0.25461556584134,-0.593801052815861,-0.187853825236143,-0.0987288678609038,0.869251196356042,0.0810949337793619,2.98237948940587,-0.624927590537001,-0.652758844387641,-0.634282404829911,-0.373598108114962,-0.492866352802781,-0.528524138797408
rpl-18,0.721363224030592,-0.485711440056001,-0.895110550031148,0.593326431736338,1.08810865312554,0.360873997605969,0.657399309363414,-0.737140651362654,-0.568570754436419,1.87027881078159,-1.47877139749218,0.198137451197324,-1.32418308446237
rpl-5,0.636944704716197,-0.491634012045329,-1.14231894752018,0.530383234251403,0.837602338765528,0.428057586454539,0.590291739018079,-0.814643444800891,-0.28931024258298,2.00123105506686,-1.39280843772825,0.402078795222102,-1.29587436881709
rps-1,0.874991215699783,-0.292530887266755,-0.847663907200402,0.759572868335546,1.34618699062053,0.545547562111201,0.899343239141742,-0.471846211753339,-0.752984874786121,1.11407180822537,-1.73143740281733,-0.064157029605312,-1.3790933707049
asp-6,-0.254125635020399,-0.689306201119137,-0.687440483305318,2.65019681466527,-0.627916793691439,0.386882455415579,0.689821964651839,-0.68575776121595,-0.567953715256547,1.17827773981988,-0.497416755995238,-0.207835080592646,-0.687426548355892
asp-5,0.103158697719112,-0.836241971069486,-0.837067949047524,2.1073850807134,-0.590524126812066,0.451701488616544,1.47078225127445,-0.83432288252043,-0.803798636119821,1.09356417962512,-0.443874317086318,-0.0470712474239192,-0.833690567869061
