p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.7878183606236e-38,1.93012306731065,0.628,0.155,8.74886623391864e-34,0,ZC196.5
4.3464801474612e-28,1.91932615286792,0.343,0.048,6.57013939090235e-24,0,best-7
2.059945780621e-39,1.91834785204798,0.912,0.339,3.11381404198671e-35,0,Y16B4A.2
1.29459449882687e-48,1.91726281226216,0.956,0.311,1.95690904442669e-44,0,T19D12.1
6.86927999543034e-15,1.91003082819973,0.401,0.134,1.03836036410925e-10,0,Y55F3BR.11
3.4721244831619e-14,1.90977048760249,0.365,0.117,5.24846336874753e-10,0,R07B7.8
8.05060017418167e-12,1.89558244210894,0.38,0.147,1.2169287223293e-07,0,R07E3.4
3.11190247827842e-46,1.89304449177969,0.839,0.237,4.70395178616566e-42,0,T05C3.6
1.08119659684938e-38,1.88463563122167,0.869,0.467,1.63433677579752e-34,0,Y71F9B.9
6.29749935633992e-22,1.88276435915645,0.547,0.185,9.51930002704343e-18,0,gly-19
9.44156482082028e-30,1.87558067334206,0.796,0.404,1.42718693831519e-25,0,VF13D12L.3
5.05045695033929e-23,1.87080480900426,0.372,0.079,7.63427072613287e-19,0,F09F9.1
1.51943441095319e-19,1.86612846918321,0.416,0.118,2.29677705559684e-15,0,lipl-5
5.74764442142601e-33,1.862957170736,0.796,0.283,8.68813930742756e-29,0,M28.8
5.32500837138305e-19,1.86261634476639,0.467,0.153,8.04928265418262e-15,0,F08G12.5
4.7070641784435e-16,1.8569988388679,0.277,0.063,7.1151982121352e-12,0,ttr-45
2.33178302935579e-25,1.64087068479257,0.613,0.203,3.52472322717421e-21,0,pbo-4
4.54472530330927e-24,1.61636576196232,0.54,0.153,6.86980676848229e-20,0,math-4
1.24709810861939e-14,1.59354208914781,0.365,0.109,1.88511350098907e-10,0,clec-48
1.52487031053266e-10,1.57733445652162,0.307,0.108,2.30499396140116e-06,0,C25F9.12
1.57070359795277e-39,1.39851730533917,0.985,0.566,2.3742755586654e-35,0,ttr-41
5.89537816521284e-16,1.39400485895944,0.431,0.143,8.91145363453573e-12,0,fbxa-156
1.82604682609157e-09,1.38809471765185,0.321,0.124,2.76025238232002e-05,0,trpl-5
1.92327259259801e-27,1.26573749391495,0.803,0.311,2.90721885097115e-23,0,Y51F10.7
4.30742804673178e-12,1.26159275387622,0.686,0.373,6.51110823543976e-08,0,C17E7.13
4.51826312694021e-06,1.26050079014982,0.27,0.122,0.0682980654268283,0,Y43F8B.14
1.43631599318272e-06,1.21532754132479,0.328,0.154,0.02171135255295,0,C05G5.1
3.91753457721434e-08,1.1467946671661,0.292,0.112,0.000592174526691719,0,T10B5.7
1.48056974490717e-05,1.12530944615925,0.27,0.128,0.223802922640168,0,Y43F8B.13
2.5677642923895e-23,1.11435819563112,0.883,0.441,3.88143250437596e-19,0,M01G12.9
3.9587637644746e-09,1.08583359656202,0.613,0.354,5.9840673063798e-05,0,F54H5.14
7.56970489448518e-06,1.00028633529388,0.255,0.114,0.114423659185038,0,daao-1
0.000393402807997189,-1.78362915524464,0.409,0.468,1,0,F17A9.4
0.00203337216741341,-1.97959410585975,0.445,0.48,1,0,F56H9.2
0.00163900863989381,-1.99988194753888,0.401,0.459,1,0,F52A8.1
1.02188662798635e-07,-2.77382475656259,0.073,0.277,0.00154468382686416,0,ttr-52
6.45628106073527e-09,-3.08474528295782,0.029,0.251,9.75931445140744e-05,0,F42F12.3
0.00615161136501895,-3.23043876330607,0.394,0.413,1,0,cpz-1
0.00840586905667485,-3.31777745736012,0.263,0.33,1,0,F44E5.5
0.000130518406646486,-3.3566681390211,0.204,0.332,1,0,R11A5.3
0.00011705958567438,-3.44962561486893,0.292,0.382,1,0,ent-2
1.3871008873747e-10,-3.47843268576313,0.204,0.458,2.09674170135559e-06,0,ZC204.12
4.99631082066741e-07,-3.82809841653069,0.109,0.289,0.00755242343652085,0,rnst-2
0.00188999884946518,-3.84163864084548,0.219,0.33,1,0,hil-7
1.00458865048791e-06,-3.86736448205249,0.131,0.303,0.0151853620407753,0,atz-1
1.85489218380401e-06,-3.96287277143422,0.088,0.258,0.0280385502503814,0,his-5
2.62996966293598e-07,-4.18063790460961,0.066,0.254,0.00397546214249402,0,gba-3
7.08869177495311e-10,-4.27079367365906,0.131,0.369,1.07152664870191e-05,0,W04A8.4
3.72077554652091e-05,-4.4701118688639,0.131,0.277,0.562432431612101,0,cht-1
2.47646855868337e-09,-5.0787514227395,0.036,0.263,3.74342987330578e-05,0,C07D10.5
2.20925646889968e-10,-5.28164572990729,0.058,0.309,3.33951207838876e-06,0,ctsa-1.2
1.43136061209921e-11,-6.10169452537676,0.022,0.29,2.16364470124916e-07,0,fbxc-51
5.40163357567174e-09,-6.15755022213041,0.08,0.302,8.16510931298541e-05,0,dao-2
3.25611978362201e-08,-6.74608413078147,0.117,0.324,0.000492195066492303,0,clec-196
1.64526266214616e-36,3.89479876634954,0.385,0.044,2.48697904010013e-32,1,ctf-8
1.84801539422649e-49,3.4827049063308,0.581,0.088,2.79346006991276e-45,1,cdk-1
2.9923775618034e-25,3.43020051050167,0.265,0.029,4.52327792242202e-21,1,orc-3
3.27053433055944e-81,3.39620776257818,0.769,0.088,4.94373969407365e-77,1,T19D7.6
7.44935063793971e-21,3.36262217139902,0.291,0.049,1.12604384243097e-16,1,capg-2
1.71234330115202e-37,3.34903245047282,0.436,0.061,2.58837813402139e-33,1,rnr-1
8.96360509155824e-24,3.33624843754348,0.291,0.04,1.35493854563994e-19,1,erh-2
2.79452227910627e-88,3.30603801169553,0.889,0.111,4.22419987709703e-84,1,C10A4.3
5.21483897994219e-33,3.29723322017895,0.436,0.071,7.88275060208061e-29,1,tost-1
8.6599078531545e-22,3.20852676309868,0.325,0.058,1.30903167108283e-17,1,srh-25
1.83928031677902e-31,3.19955566089092,0.402,0.062,2.78025612684317e-27,1,pcn-1
2.10846920105938e-27,3.16286944861171,0.376,0.063,3.18716204432136e-23,1,C09G4.4
3.27641798239322e-19,3.12400671126512,0.256,0.04,4.95263342218559e-15,1,kbp-5
4.73005330616012e-28,3.08155638679905,0.393,0.064,7.14994857759164e-24,1,div-1
4.63266629873387e-08,3.0712195589591,0.256,0.095,0.000700273837716612,1,fce-2
1.73405641574445e-19,3.03381799501424,0.274,0.046,2.62119967803931e-15,1,C13G3.1
3.69808004219518e-55,2.98259159686714,0.88,0.237,5.59001779178223e-51,1,R11A5.3
2.54340530875111e-47,2.97422306801,0.675,0.132,3.84461146470818e-43,1,cnc-10
1.68430793229869e-26,2.9681186715986,0.41,0.081,2.5459998704627e-22,1,spdl-1
9.81551543893983e-30,2.92290037782626,0.419,0.075,1.48371331375014e-25,1,mdf-2
7.15484322039087e-26,2.92114239987987,0.325,0.046,1.08152610119428e-21,1,him-10
2.47616222829562e-26,2.91472876287916,0.402,0.075,3.74296682429165e-22,1,mes-4
2.86386544765882e-15,2.9104160554673,0.256,0.054,4.32901901068107e-11,1,hasp-1
6.15478176172359e-30,2.88270423452409,0.35,0.048,9.30356811102138e-26,1,pole-1
2.64941634657433e-14,2.86925212886489,0.265,0.06,4.00485774948176e-10,1,Y53F4B.9
4.85855131337452e-63,2.86839627553389,1,0.41,7.34418616529692e-59,1,ttr-50
1.09276986604847e-63,2.85069034804081,0.991,0.422,1.65183092951887e-59,1,cpl-1
1.16465080463599e-65,2.82680275618057,0.991,0.331,1.76048615628776e-61,1,cpz-1
4.1778828169952e-30,2.81357622432309,0.479,0.097,6.31528766616994e-26,1,R09F10.8
6.62170967910983e-25,2.80971648178493,0.274,0.032,1.00093763509424e-20,1,tofu-6
6.75802083894181e-31,2.80412360572524,0.538,0.127,1.02154243001444e-26,1,smc-4
4.68281700734902e-35,2.77320943126203,0.462,0.072,7.07854618830878e-31,1,ttr-35
1.66647117094707e-38,2.76236675820026,0.521,0.088,2.5190378220036e-34,1,poml-2
3.34994683444508e-36,2.75741964752612,0.564,0.109,5.06377963494718e-32,1,hcp-6
6.15116413879674e-42,2.74561845907336,0.59,0.104,9.29809971220516e-38,1,chaf-1
2.04161338901902e-19,2.73507438913476,0.35,0.079,3.08610279884115e-15,1,cbs-1
3.53953666566011e-61,2.7262483593979,0.735,0.118,5.35036362381182e-57,1,C14H10.2
2.05177352159425e-30,2.71253346652311,0.496,0.1,3.10146085524187e-26,1,zen-4
8.02691767902667e-32,2.69665857705723,0.385,0.055,1.21334887636167e-27,1,pri-2
4.29263661543139e-44,2.68948794522947,0.675,0.135,6.48874950788609e-40,1,unc-129
7.26606238853438e-18,2.68166820844873,0.291,0.057,1.09833799065086e-13,1,csc-1
4.50530219498311e-54,2.67809837989454,0.803,0.184,6.81021479793646e-50,1,C54D10.13
2.20477163981442e-27,2.67747641094397,0.41,0.074,3.33273281074348e-23,1,pole-4
1.15373559843166e-10,2.63050956307775,0.265,0.079,1.7439867305893e-06,1,pole-2
4.00350226384601e-16,2.62357365599525,0.291,0.064,6.05169402202963e-12,1,spd-1
1.42854295374177e-16,2.61553601188401,0.291,0.065,2.15938552887607e-12,1,lin-54
1.11934922231603e-09,2.61133994718753,0.359,0.152,1.6920082844529e-05,1,cyp-13B1
4.67786004992831e-41,2.60664788915807,0.675,0.134,7.07105325147164e-37,1,ugt-53
6.88212762931379e-16,2.60216800869722,0.368,0.106,1.04030241244707e-11,1,cyp-13A1
2.85284900120424e-40,2.58687947886901,0.624,0.121,4.31236655022033e-36,1,M79.2
1.20679832156786e-24,2.58668721599876,0.393,0.077,1.82419634288198e-20,1,knl-1
6.44949031159303e-24,2.57521546685004,0.41,0.091,9.74904955500403e-20,1,arrd-11
1.15039946885642e-35,2.54882347304816,0.444,0.065,1.73894383712336e-31,1,aspm-1
3.25343541626435e-10,2.5255269064519,0.308,0.111,4.91789297522519e-06,1,mom-5
1.8857601657998e-23,2.51244225242934,0.359,0.069,2.85051506662298e-19,1,mcm-4
7.08153305050144e-66,2.51183428750567,0.94,0.172,1.0704445359138e-61,1,rnst-2
2.18723693785036e-77,2.50472262987446,0.795,0.091,3.3062273552546e-73,1,ces-2
1.54529975337279e-47,2.49996024722358,0.786,0.204,2.33587510719831e-43,1,klo-1
2.29273301718472e-16,2.4900751095338,0.256,0.048,3.46569522877643e-12,1,pig-1
8.05056892940995e-25,2.48561828139231,0.393,0.078,1.21692399936961e-20,1,mcm-6
6.49058964077735e-66,2.35984276257656,0.906,0.159,9.81117530099904e-62,1,ttr-52
6.9206126116281e-36,2.30613841078082,0.658,0.16,1.0461198023737e-31,1,F42F12.3
3.68454585549538e-47,2.23455880888718,0.795,0.151,5.56955951516682e-43,1,gba-3
4.71053887023436e-34,2.17301562187642,0.573,0.118,7.12045055624626e-30,1,F59D6.1
2.8190858853838e-18,2.14177834163297,0.308,0.06,4.26133022434614e-14,1,cdr-7
1.7698003217161e-20,2.14054650228689,0.368,0.077,2.67523016630605e-16,1,T13A10.1
9.32686758531174e-62,2.13231043109527,0.94,0.18,1.40984930419572e-57,1,dao-2
1.39822889580619e-13,2.11345707619371,0.291,0.075,2.11356279890064e-09,1,mis-12
9.89761444363343e-50,2.0923848427247,0.838,0.173,1.49612339929963e-45,1,fbxc-51
1.10956383339974e-34,2.05535796417373,0.855,0.396,1.67721669056705e-30,1,F52A8.1
7.55228857110444e-35,2.02609219279091,0.684,0.173,1.14160394040815e-30,1,his-5
2.12281956356785e-38,1.99332781590636,0.701,0.155,3.20885405228917e-34,1,his-18
8.76228173887481e-19,1.8772984099066,0.402,0.1,1.32450650764832e-14,1,ceh-83
2.80954762033174e-41,1.74894933517736,0.718,0.147,4.24691218289346e-37,1,his-1
3.86361164026826e-46,1.6050297348579,0.88,0.197,5.84023535542951e-42,1,atz-1
6.13306910313519e-57,1.59309312673087,0.966,0.203,9.27074725629915e-53,1,clec-196
8.64802482655594e-10,1.57376645986575,0.291,0.095,1.3072354327822e-05,1,F17A9.5
6.32360863543814e-30,1.55645364820007,0.615,0.148,9.55876681332829e-26,1,his-7
1.64229858585728e-10,1.53213652974185,0.308,0.099,2.48249854238187e-06,1,his-8
3.66270777631009e-22,1.49306009896042,0.786,0.433,5.53654907467033e-18,1,F56H9.2
1.35762518272315e-32,1.49098645996168,0.966,0.61,2.05218622620432e-28,1,ech-1.2
1.41883412491238e-26,1.48435210251781,0.564,0.13,2.14470966321755e-22,1,his-63
1.0911353574438e-09,1.46762719836403,0.342,0.116,1.64936020631206e-05,1,T28C6.10
6.70051173681645e-28,1.43479533220354,0.932,0.494,1.01284935413717e-23,1,B0416.5
3.73253232299157e-19,1.4162987441408,0.889,0.543,5.64209585943406e-15,1,apy-1
5.25716979084225e-17,1.40156287765902,0.573,0.214,7.94673785583715e-13,1,cht-1
1.71855071910851e-09,1.39256149616887,0.325,0.111,2.59776126700443e-05,1,fbxb-8
3.40519859061916e-12,1.30502488869045,0.419,0.153,5.14729818957991e-08,1,nhr-205
2.65777197420507e-30,1.24163970825621,0.692,0.168,4.01748811620838e-26,1,C07D10.5
3.52248564500992e-17,1.23951585131623,0.897,0.539,5.32458930099699e-13,1,vwa-8
6.73459811374291e-11,1.23032101676781,0.325,0.099,1.01800185087338e-06,1,his-67
2.63760580347716e-06,1.22512587350426,0.256,0.106,0.0398700493253608,1,twk-46
8.6247502728049e-06,1.20046594698599,0.291,0.138,0.130371725123719,1,fbxa-14
7.60363294523058e-09,1.19691143869075,0.299,0.111,0.000114936515600105,1,R10E9.3
5.85910365126093e-19,1.17117914809728,0.795,0.475,8.85662107924603e-15,1,his-62
1.28617946941403e-13,1.17051147147739,0.35,0.098,1.94418888596625e-09,1,ztf-29
2.70133454693269e-15,1.16528500085971,0.675,0.369,4.08333730114345e-11,1,lsm-7
1.5650502890137e-15,1.14925602114299,0.692,0.354,2.36573001687311e-11,1,dhs-9
0.000138694861612937,1.11318283450617,0.265,0.132,1,1,C31H2.4
1.41857387204176e-22,1.11294537665204,0.889,0.611,2.14431626497832e-18,1,zip-12
4.18284999201596e-16,1.09546710174933,0.684,0.361,6.32279604793133e-12,1,spat-3
8.78534835602633e-16,1.0930660481052,0.701,0.391,1.32799325749694e-11,1,C35D10.1
2.53671321906866e-10,1.04814022931506,0.658,0.396,3.83449570194418e-06,1,iglr-2
3.93600413702288e-24,1.0413677046178,0.889,0.522,5.94966385352378e-20,1,maoc-1
0.00504591437759078,-1.01132662578879,0.376,0.497,1,1,cgt-3
0.00122138579297629,-1.04145360707058,0.41,0.505,1,1,W07G4.5
8.76972144395683e-05,-1.21705928478294,0.333,0.477,1,1,cgt-1
0.00519407667298928,-1.26634978629536,0.462,0.527,1,1,C50B8.4
3.36255352281888e-05,-1.27319450853522,0.521,0.602,0.508283590509302,1,gpa-17
5.96594967466356e-07,-1.6047299583275,0.615,0.658,0.00901812952822144,1,prdx-2
1.71609581747573e-12,-1.73886870490467,0.735,0.726,2.59405043769632e-08,1,vha-17
8.76481632239049e-07,-1.74939234740585,0.231,0.462,0.0132488963529255,1,ugt-26
1.50255916495109e-06,-1.75786979136924,0.094,0.305,0.0227126843374007,1,ptr-24
1.43298607908828e-08,-1.76075143648227,0.624,0.669,0.000216610175714984,1,nrfl-1
0.00302388257198745,-1.77067709407603,0.342,0.434,1,1,itr-1
2.85337331349509e-06,-1.92962278799682,0.65,0.646,0.0431315910067917,1,gdh-1
2.64622872999189e-09,-2.04274014626449,0.034,0.298,4.00003934825574e-05,1,C01H6.4
1.85935103433344e-05,-2.215277855048,0.47,0.571,0.281059502349843,1,pmp-5
1.03532212169131e-06,-2.23445306048519,0.077,0.281,0.0156499291914859,1,endu-2
3.63603837128543e-09,-2.42357498036755,0.222,0.482,5.49623560203506e-05,1,mans-2
2.37328264119223e-05,-2.43952355882207,0.197,0.377,0.358745404042617,1,M28.8
6.25549176260767e-06,-2.44126514683444,0.342,0.506,0.0945580134835775,1,his-35
1.11901811569617e-11,-2.48306169599011,0.803,0.754,1.69150778368633e-07,1,act-5
7.01043663826081e-07,-2.56884737988245,0.051,0.261,0.010596976022395,1,gly-19
1.39774449177281e-05,-2.59803030190122,0.179,0.355,0.211283057376379,1,clec-83
1.36112210129996e-12,-2.63228271089338,0.248,0.559,2.05747216832502e-08,1,ile-1
9.87212634720901e-05,-2.6827953687801,0.291,0.44,1,1,ZC204.12
4.68186739098934e-11,-2.71090164175004,0.274,0.524,7.07711074821948e-07,1,ampd-1
3.60291505588643e-13,-2.7378646040203,0.231,0.54,5.44616639847794e-09,1,M01G12.9
1.16422880974765e-08,-2.89698139551647,0.265,0.495,0.000175984826881455,1,gst-5
6.60362792278518e-07,-2.95387994130959,0.145,0.352,0.00998204396808208,1,W02B12.1
1.13630743421475e-10,-2.98747983157065,0.12,0.421,1.71764231755902e-06,1,lmp-2
1.85767122400057e-06,-2.99385130065719,0.128,0.327,0.0280805582219926,1,slc-17.6
1.73334904812083e-15,-3.02818667873119,0.47,0.646,2.62013042113945e-11,1,ttr-41
6.13212577526363e-08,-3.10515561010572,0.06,0.298,0.00092693213218885,1,aex-5
0.000251518820273455,-3.10897099227203,0.111,0.264,1,1,rig-4
4.96372042609334e-08,-3.17598948042206,0.06,0.298,0.00075031597960827,1,F49E12.10
6.45708401604126e-09,-3.4208131486678,0.026,0.274,9.76052819864797e-05,1,lys-4
3.09486054067762e-11,-3.54685523115272,0.06,0.37,4.67819119328829e-07,1,T01D3.6
8.86727849715949e-13,-3.63643889086311,0.368,0.571,1.34037781763063e-08,1,ifd-2
2.05269382767242e-08,-3.77398488383596,0.128,0.39,0.000310285198990963,1,F26F12.3
6.74033934305224e-11,-3.86700073004294,0.231,0.49,1.01886969509578e-06,1,VF13D12L.3
5.48586827126779e-09,-4.10492121519087,0.017,0.263,8.29243847884839e-05,1,M04C3.5
6.04499085034005e-07,-4.121838243981,0.077,0.281,0.00913760816937402,1,oac-14
1.47478018651794e-11,-4.39882680052771,0.051,0.358,2.22927772994052e-07,1,T05C3.6
2.45779783999584e-12,-4.56279144543657,0.197,0.496,3.71520721493772e-08,1,irg-7
3.18857969655341e-08,-4.72864609972147,0.026,0.256,0.000481985706931014,1,folt-2
2.58147227199839e-15,-4.7326488480922,0.068,0.446,3.90215348635276e-11,1,R09H10.5
4.48551129656255e-16,-5.17012882036661,0.043,0.436,6.78029887588394e-12,1,C12D12.1
1.49181999170258e-08,-5.46031330515153,0.017,0.25,0.000225503509945761,1,Y38H6C.24
3.65563588211315e-09,-5.54498354995075,0.009,0.252,5.52585919940224e-05,1,acox-1.5
9.68379979247318e-15,-5.54553097388409,0.026,0.397,1.46380317663025e-10,1,rfip-1
4.6977812963221e-13,-5.58358607451695,0.026,0.362,7.10116620752049e-09,1,mct-4
6.50859906797045e-16,-5.58828475267645,0.051,0.436,9.83839835114413e-12,1,gst-36
1.23358544708589e-11,-5.89172812626256,0.017,0.32,1.86468776181503e-07,1,cbl-1
2.36806099770355e-23,-5.89809790559353,0.154,0.616,3.57956100412869e-19,1,Y119D3B.21
1.00409649550884e-16,-6.17038221170645,0.051,0.449,1.51779226261116e-12,1,T19D12.1
8.97666127079354e-10,-6.38002893654638,0.043,0.306,1.35691211769315e-05,1,ctsa-1.2
5.75781668907891e-11,-6.38752888940927,0.034,0.323,8.70351570721168e-07,1,F28B4.3
2.6157383455552e-28,-6.60121062668345,0.188,0.677,3.95395008314124e-24,1,lec-9
2.43975247177213e-11,-6.70214901799429,0.026,0.321,3.68792983633075e-07,1,ttr-44
7.36069643785887e-10,-6.74552095999898,0,0.257,1.11264287354675e-05,1,clec-265
2.04379371042657e-15,-6.77621924506264,0.017,0.397,3.0893985726808e-11,1,T16G12.1
1.04685968222101e-16,-7.01688363464279,0.026,0.428,1.58243309564527e-12,1,Y51F10.7
3.79477256629645e-10,-7.09657515353612,0,0.264,5.73617821121372e-06,1,K10G6.5
8.80770305934455e-26,-7.25119425013016,0.051,0.588,1.33137239445052e-21,1,nep-17
3.35325418628614e-19,-7.25915133336379,0.026,0.473,5.06877902799014e-15,1,T25C12.3
4.35805992865416e-20,-7.33175477297519,0.043,0.498,6.58764338815363e-16,1,gst-4
8.15639833977668e-16,-7.41578084739153,0.017,0.404,1.23292117304064e-11,1,ZK1320.2
5.32497887770841e-13,-7.47695727836913,0,0.329,8.04923807154403e-09,1,C18A11.3
1.09382936592167e-11,-7.54380599304943,0.009,0.31,1.65343246952719e-07,1,cpr-9
4.6358857313419e-27,-7.58084868902672,0.137,0.643,7.00760487149641e-23,1,asp-1
1.9318310903224e-15,-7.88064184515885,0.017,0.397,2.92015587613133e-11,1,dod-19
1.4944612303316e-18,-7.92514565478831,0.009,0.447,2.25902759576925e-14,1,ctsa-3.1
2.04885032745326e-12,-7.94538864302225,0,0.316,3.09704215497835e-08,1,ctsa-4.2
2.6456030804796e-20,-7.99818790338624,0.017,0.483,3.99909361645297e-16,1,Y39G8B.9
8.78940817368447e-20,-8.20546423619434,0.017,0.475,1.32860693953414e-15,1,clec-17
9.28227357592908e-21,-8.29835179663046,0,0.477,1.40310847373744e-16,1,Y16B4A.2
1.8888130766011e-21,-8.51314636752188,0.017,0.502,2.85512984659022e-17,1,ctsa-2
1.81997653793159e-27,-8.62617841776689,0.06,0.613,2.7510765347374e-23,1,asp-3
1.86834199303155e-28,-8.63198100101561,0.034,0.613,2.8241857566665e-24,1,spp-5
5.67987745683861e-18,-8.6758784467432,0.017,0.443,8.58570276375724e-14,1,asp-6
1.50845784680425e-14,-8.82097018818797,0,0.362,2.28018488122931e-10,1,clec-63
9.45539234398875e-64,9.22198384654873,0.336,0.002,1.42927710671734e-59,2,ehn-3
2.20263354770436e-45,8.81527113466611,0.411,0.037,3.32950087070991e-41,2,sdz-27
3.70744751196094e-49,8.74452427780566,0.318,0.01,5.60417765908015e-45,2,F28B12.6
1.0101180836914e-48,8.27265916945096,0.262,0.002,1.52689449530792e-44,2,C36B7.2
2.41824999551746e-34,7.90766685887212,0.252,0.013,3.6554266932242e-30,2,F19B10.2
1.32015389724487e-50,7.88032137124983,0.28,0.003,1.99554463107535e-46,2,unc-39
5.79834901823085e-49,7.28927978086189,0.336,0.014,8.76478437595776e-45,2,emb-9
7.18548100729644e-64,7.15786104050825,0.458,0.023,1.08615730906293e-59,2,sbt-1
1.07949052647031e-22,7.02369936936228,0.271,0.037,1.63175787981252e-18,2,hsp-12.3
7.55064628822161e-28,6.94483988523652,0.308,0.038,1.14135569292758e-23,2,C29F9.6
9.17640750550857e-35,6.92748307589119,0.262,0.014,1.38710575853268e-30,2,let-2
1.14501511630291e-33,6.90386905992277,0.28,0.02,1.73080484980348e-29,2,cyp-13A2
3.26903831403414e-41,6.61850852712774,0.364,0.03,4.941478315494e-37,2,C02B10.3
1.92454171245448e-26,6.57776208806089,0.262,0.025,2.90913725254619e-22,2,ost-1
6.90086458657106e-28,6.4798101711819,0.28,0.029,1.04313469090608e-23,2,egl-19
9.09222049003008e-40,6.43259903434243,0.299,0.016,1.37438004927295e-35,2,tra-1
3.7711289204177e-31,6.40222861901854,0.308,0.031,5.70043847610339e-27,2,unc-82
4.75608317102163e-35,6.30189078195653,0.355,0.038,7.1892953213163e-31,2,F28B12.1
1.3106732863945e-34,6.22803248638982,0.318,0.028,1.98121373971392e-30,2,B0041.11
2.24038316169066e-40,6.15847748528547,0.308,0.017,3.3865631872116e-36,2,C30F12.5
2.83718944002793e-26,6.11365559647898,0.327,0.048,4.28869555754622e-22,2,F14H12.6
4.38858670020806e-32,6.08642692954922,0.262,0.017,6.6337876560345e-28,2,cog-1
9.98355685219466e-29,5.94818071617093,0.271,0.024,1.50911445377774e-24,2,far-1
8.06364802352589e-37,5.77849731997184,0.318,0.024,1.21890103523617e-32,2,pnc-1
